X,CH1,CH2,CH3,Start,Increment,
Sequence,Volt,Volt,Volt,-1.198000e+00,2.000000e-03
323,-2.40e-02,-4.00e-02,1.20e+01,
324,-2.40e-02,-7.20e-02,1.40e+01,
325,-8.00e-02,-3.20e-02,1.20e+01,
326,-8.00e-02,-7.20e-02,1.40e+01,
327,-2.40e-02,-3.20e-02,1.20e+01,
328,-6.40e-02,-3.20e-02,1.40e+01,
329,-3.20e-02,-7.20e-02,1.20e+01,
330,-3.20e-02,-3.20e-02,1.40e+01,
331,-8.00e-02,-6.40e-02,1.00e+01,
332,-7.20e-02,-5.60e-02,1.00e+01,
333,-3.20e-02,-1.60e-02,1.40e+01,
334,-7.20e-02,-2.40e-02,1.00e+01,
335,-3.20e-02,-5.60e-02,1.20e+01,
336,-7.20e-02,-4.80e-02,1.20e+01,
337,-3.20e-02,-8.00e-03,1.00e+01,
338,-8.00e-02,-4.80e-02,1.20e+01,
339,-3.20e-02,0.00e+00,8.00e+00,
340,-3.20e-02,-3.20e-02,1.00e+01,
341,-8.00e-02,0.00e+00,8.00e+00,
342,-7.20e-02,-2.40e-02,1.00e+01,
343,-3.20e-02,8.00e-03,6.00e+00,
344,-8.00e-02,-1.60e-02,6.00e+00,
345,-3.20e-02,1.60e-02,1.00e+01,
346,-3.20e-02,-1.60e-02,8.00e+00,
347,-8.00e-02,1.60e-02,4.00e+00,
348,-3.20e-02,-8.00e-03,8.00e+00,
349,-7.20e-02,2.40e-02,2.00e+00,
350,-6.40e-02,2.40e-02,4.00e+00,
351,-3.20e-02,0.00e+00,2.00e+00,
352,-6.40e-02,0.00e+00,4.00e+00,
353,-2.40e-02,4.00e-02,0.00e+00,
354,-7.20e-02,8.00e-03,2.00e+00,
355,-2.40e-02,4.80e-02,-2.00e+00,
356,-5.60e-02,4.80e-02,-2.00e+00,
357,-1.60e-02,8.00e-03,2.00e+00,
358,-5.60e-02,2.40e-02,0.00e+00,
359,-1.60e-02,5.60e-02,-4.00e+00,
360,-5.60e-02,2.40e-02,0.00e+00,
361,-8.00e-03,6.40e-02,-4.00e+00,
362,8.00e-03,7.20e-02,-2.00e+00,
363,-5.60e-02,3.20e-02,-6.00e+00,
364,-4.00e-02,4.00e-02,-6.00e+00,
365,8.00e-03,7.20e-02,-4.00e+00,
366,-3.20e-02,4.00e-02,-4.00e+00,
367,8.00e-03,7.20e-02,-1.00e+01,
368,-3.20e-02,7.20e-02,-8.00e+00,
369,8.00e-03,4.80e-02,-1.00e+01,
370,-3.20e-02,4.00e-02,-8.00e+00,
371,2.40e-02,8.00e-02,-1.20e+01,
372,-1.60e-02,8.80e-02,-1.20e+01,
